Fuzzer,Intercept,Files,Statements,Max Complexity,Avg Complexity,Functions,Max Depth,Avg Depth,% Branches
AFL,6525.00,-4.33,-0.05,4.06,-1361.00,1.99,null,16530.00,-1267.00
Eclipser,2328.59,null,-0.03,2.28,-382.24,0.84,null,4591.58,-328.41
Libfuzzer,2221.99,null,-0.04,2.66,-640.84,1.09,null,8409.55,-560.89
Lafintel,1929.15,null,-0.04,2.70,-694.12,1.10,null,9283.94,-601.86
Entropic,2459.79,null,-0.04,2.82,-645.79,1.16,null,8972.66,-616.08
Fastcgs,2501.00,null,-0.05,3.34,-988.30,1.46,null,12460.00,-828.10
Aflplusplus_mopt,2780.00,null,-0.05,3.49,-989.80,1.55,null,12680.00,-856.00
Fairfuzz,2485.00,null,-0.06,3.61,-1012.00,1.61,null,13770.00,-938.40
AFLFAST,6241.00,-3.97,-0.05,4.03,-1298.00,1.96,null,15890.00,-1217.00
Aflsmart,6502.00,-4.36,-0.05,4.04,-1360.00,1.98,null,16510.00,-1264.00
Aflplusplus,-2815.00,-3.55,-0.06,4.25,-1205.00,1.90,1416.00,12230.00,-1066.00
Aflplusplus_noalloc,-2772.00,-3.56,-0.06,4.25,-1204.00,1.90,1411.00,12240.00,-1068.00
Mopt,3009.00,null,-0.08,4.52,-1368.00,2.15,null,18330.00,-1258.00
Honggfuzz,1799.00,null,-0.05,3.12,-949.50,1.38,null,13700.00,-894.60
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,s,,,,,
